,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
114,176,Lake Sockeye,1995,22805,NA,NA,NA,NA,0
115,176,Lake Sockeye,1996,8888,28901,NA,NA,NA,3.251687669
116,176,Lake Sockeye,1997,17074,27339,NA,NA,NA,1.601206513
117,176,Lake Sockeye,1998,18244,44147,NA,NA,NA,2.419809252
118,176,Lake Sockeye,1999,NA,40307,NA,NA,NA,0
119,176,Lake Sockeye,2000,20696,22189,NA,NA,NA,1.072139544
120,176,Lake Sockeye,2001,12356,19989,NA,NA,NA,1.617756556
121,176,Lake Sockeye,2002,16499,25805,NA,NA,NA,1.564034184
122,176,Lake Sockeye,2003,42295,30846,NA,NA,NA,0.729306065
123,176,Lake Sockeye,2004,20815,33947,NA,NA,NA,1.630891184
124,176,Lake Sockeye,2005,13321,43377,NA,NA,NA,3.256287066
125,176,Lake Sockeye,2006,14187,44643,NA,NA,NA,3.146754071
126,176,Lake Sockeye,2007,18561,NA,NA,NA,NA,0
127,176,Lake Sockeye,2008,22872,NA,NA,NA,NA,0
128,176,Lake Sockeye,2009,29089,NA,NA,NA,NA,0
129,176,Lake Sockeye,2010,45445,33739,NA,NA,NA,0.742413907
130,176,Lake Sockeye,2011,27800,31750,NA,NA,NA,1.142086331
131,176,Lake Sockeye,2012,45063,NA,NA,NA,NA,0
132,176,Lake Sockeye,2013,NA,NA,NA,NA,NA,0
133,176,Lake Sockeye,2014,29375,NA,NA,NA,NA,0
134,176,Lake Sockeye,2015,25359,NA,NA,NA,NA,0
135,176,Lake Sockeye,2016,NA,NA,NA,NA,NA,0
136,176,Lake Sockeye,2017,NA,NA,NA,NA,NA,0
137,177,Lake Sockeye,1950,NA,NA,NA,NA,NA,0
138,177,Lake Sockeye,1951,NA,NA,NA,NA,NA,0
139,177,Lake Sockeye,1952,NA,NA,NA,NA,NA,0
140,177,Lake Sockeye,1953,NA,NA,NA,NA,NA,0
141,177,Lake Sockeye,1954,NA,NA,NA,NA,NA,0
142,177,Lake Sockeye,1955,NA,NA,NA,NA,NA,0
143,177,Lake Sockeye,1956,NA,16025,NA,NA,NA,0
144,177,Lake Sockeye,1957,NA,19603,NA,NA,NA,0
145,177,Lake Sockeye,1958,NA,24121,NA,NA,NA,0
146,177,Lake Sockeye,1959,NA,48186,NA,NA,NA,0
147,177,Lake Sockeye,1960,11352,82151,NA,NA,NA,7.236698379
148,177,Lake Sockeye,1961,14884,70594,NA,NA,NA,4.742945445
